
App Event Type,Target Developer Name,Advertiser Spend,Advertiser Spend (Compare: 1 week back),Net Revenue,Net Revenue (Compare: 1 week back),Starts,Starts (Compare: 1 week back),Installs,Installs (Compare: 1 week back),Average dCPI,Average dCPI (Compare: 1 week back),MMP eCPI,MMP eCPI (Compare: 1 week back),Unity Margin,Unity Margin (Compare: 1 week back)
Overall,Overall,$1.60 M,$1.77 M,"$584,539.29","$690,947.00",165.84 m,184.11 m,"1,001,920","1,003,152",$3.59,$3.37,1.59,1.77,36.63 %,38.96 %
purchase,Overall,$634.91 k,$608.02 k,"$202,798.77","$218,149.21",50.41 m,42.76 m,"419,378","306,902",$5.97,$6.65,1.51,1.98,31.94 %,35.88 %
purchase,Cashbox,$73.30 k,$55.65 k,"$27,152.29","$19,137.94",15.83 m,12.92 m,"278,769","190,723",$0.31,$0.33,0.26,0.29,37.04 %,34.39 %
purchase,WakeUnity7,$60.55 k,$50.68 k,"$13,480.46","$21,203.79",4.79 m,2.32 m,"18,657","11,558",$4.17,$5.02,3.25,4.38,22.26 %,41.84 %
purchase,Lingokids-Monkimun,$58.70 k,$51.71 k,"$13,651.40","$11,962.71",6.21 m,5.67 m,"39,007","33,087",$1.55,$1.57,1.50,1.56,23.26 %,23.14 %
purchase,BetBoom_2025,$50.94 k,$82.32 k,"$18,079.96","$35,177.17",4.57 m,6.60 m,"4,178","5,501",$15.30,$17.66,12.19,14.96,35.49 %,42.73 %
purchase,unity_AD1DB49537264B5B7088,$50.34 k,$28.35 k,"$13,990.24","$8,933.98",1.48 m,756.61 k,"9,295","4,925",$6.37,$6.60,5.42,5.76,27.79 %,31.51 %
purchase,WakeUnity2,$36.07 k,$6.47 k,"$13,470.44",$991.49,2.72 m,494.26 k,"14,866","2,682",$3.18,$3.43,2.43,2.41,37.35 %,15.33 %
purchase,G-MEI欧美+日韩,$21.77 k,$10.74 k,"$10,335.88","$4,020.55",491.16 k,207.89 k,"4,350","2,244",$6.04,$5.69,5.00,4.79,47.48 %,37.44 %
purchase,Mistplay Inc.,$19.92 k,$16.73 k,"$6,966.38","$5,952.49",317.82 k,265.90 k,678,595,$39.71,$36.44,29.38,28.12,34.98 %,35.57 %
purchase,WeKingsAgency,$19.40 k,$15.81 k,-$260.39,"$4,292.23",2.25 m,1.58 m,"1,600","1,329",$23.90,$16.59,12.13,11.90,-1.34 %,27.14 %
purchase,WakeUnity10,$19.02 k,$14.15 k,"$5,672.46","$4,501.06",1.53 m,670.89 k,"4,796","2,823",$5.14,$6.90,3.96,5.01,29.83 %,31.82 %
level_complete,Overall,$626.07 k,$817.27 k,"$256,566.33","$338,773.23",74.68 m,101.98 m,"397,015","526,959",$3.95,$3.29,1.58,1.55,40.98 %,41.45 %
level_complete,Sky Union LLC,$157.64 k,$153.55 k,"$70,791.53","$61,928.22",14.65 m,15.62 m,"23,633","25,628",$10.83,$8.60,6.67,5.99,44.91 %,40.33 %
level_complete,sztf1,$89.25 k,$92.13 k,"$32,486.03","$32,318.04",2.45 m,2.82 m,"58,313","60,973",$1.73,$1.74,1.53,1.51,36.40 %,35.08 %
level_complete,Learnings,$72.34 k,$133.38 k,"$31,472.83","$56,681.55",16.83 m,26.71 m,"43,997","65,480",$2.13,$2.65,1.64,2.04,43.51 %,42.50 %
level_complete,wejoy2021,$60.34 k,$82.43 k,"$27,382.06","$41,058.40",12.06 m,15.23 m,"106,545","129,930",$0.63,$0.72,0.57,0.63,45.38 %,49.81 %
level_complete,Upside Cashback,$37.95 k,$48.46 k,"$8,474.73","$20,681.84",2.23 m,1.99 m,"5,243","4,846",$7.79,$10.88,7.24,10.00,22.33 %,42.68 %
level_complete,IGG SINGAPORE PTE. LTD.,$26.12 k,$20.68 k,"$12,809.33","$9,924.62",3.38 m,2.47 m,"16,881","13,968",$2.26,$1.73,1.55,1.48,49.04 %,48.00 %
