Campaign Type,Post-Install Window,ROAS Types,App Events Campaign Type,Advertiser Spend,Advertiser Spend (Compare: 1 week back),Net Revenue,Net Revenue (Compare: 1 week back),Starts,Starts (Compare: 1 week back),Installs,Installs (Compare: 1 week back),Average dCPI,Average dCPI (Compare: 1 week back),MMP eCPI,MMP eCPI (Compare: 1 week back),Unity Margin,Unity Margin (Compare: 1 week back)
Overall,Overall,Overall,Overall,$56.56 M,$53.78 M,"$20,970,199.66","$20,013,123.67",3.34 b,3.21 b,"43,173,655","42,288,577",$5.52,$5.43,1.31,1.27,37.08 %,37.21 %
roas,Overall,Overall,Overall,$54.89 M,$52.18 M,"$20,381,058.11","$19,428,584.38",3.17 b,3.05 b,"42,124,712","41,286,657",$5.64,$5.53,1.30,1.26,37.13 %,37.23 %
roas,d7,Overall,Overall,$37.21 M,$35.82 M,"$13,965,373.54","$13,400,325.05",1.84 b,1.83 b,"25,230,531","25,704,984",$6.27,$5.84,1.47,1.39,37.53 %,37.41 %
roas,d7,iap,Overall,$14.59 M,$13.36 M,"$6,177,148.32","$5,638,494.68",688.35 m,628.75 m,"3,759,102","3,268,873",$13.03,$12.85,3.88,4.09,42.34 %,42.21 %
roas,d7,iap,,$14.59 M,$13.36 M,"$6,177,148.32","$5,638,494.68",688.35 m,628.75 m,"3,759,102","3,268,873",$13.03,$12.85,3.88,4.09,42.34 %,42.21 %
roas,d7,adRevenue,Overall,$15.86 M,$15.73 M,"$5,233,279.48","$5,191,534.44",937.92 m,978.83 m,"17,892,339","18,945,654",$1.73,$1.65,0.89,0.83,33.01 %,32.99 %
roas,d7,adRevenue,,$15.86 M,$15.73 M,"$5,233,279.48","$5,191,534.44",937.92 m,978.83 m,"17,892,339","18,945,654",$1.73,$1.65,0.89,0.83,33.01 %,32.99 %
roas,d7,"adRevenue,iap",Overall,$6.76 M,$6.73 M,"$2,554,945.74","$2,570,295.92",215.96 m,218.76 m,"3,579,063","3,490,446",$4.49,$4.43,1.89,1.93,37.77 %,38.21 %
roas,d7,"adRevenue,iap",,$6.76 M,$6.73 M,"$2,554,945.74","$2,570,295.92",215.96 m,218.76 m,"3,579,063","3,490,446",$4.49,$4.43,1.89,1.93,37.77 %,38.21 %
roas,d7,,Overall,$0.00,$0.00,$0.00,$0.00,101,246,27,11,$0.00,$0.00,0.00,0.00,NaN,NaN
roas,d7,,,$0.00,$0.00,$0.00,$0.00,101,246,27,11,$0.00,$0.00,0.00,0.00,NaN,NaN
roas,d28,Overall,Overall,$14.57 M,$13.46 M,"$5,487,473.70","$5,152,570.41",905.01 m,836.93 m,"5,953,281","5,132,912",$6.84,$7.24,2.45,2.62,37.67 %,38.27 %
roas,d28,iap,Overall,$5.73 M,$5.74 M,"$2,543,883.12","$2,528,085.01",193.04 m,206.49 m,"645,770","667,598",$19.92,$19.02,8.88,8.60,44.36 %,44.02 %
roas,d28,iap,,$5.73 M,$5.74 M,"$2,543,883.12","$2,528,085.01",193.04 m,206.49 m,"645,770","667,598",$19.92,$19.02,8.88,8.60,44.36 %,44.02 %
roas,d28,adRevenue,Overall,$5.23 M,$4.60 M,"$1,607,428.20","$1,452,353.46",562.48 m,502.82 m,"4,141,258","3,429,552",$2.34,$2.42,1.26,1.34,30.76 %,31.56 %
roas,d28,adRevenue,,$5.23 M,$4.60 M,"$1,607,428.20","$1,452,353.46",562.48 m,502.82 m,"4,141,258","3,429,552",$2.34,$2.42,1.26,1.34,30.76 %,31.56 %
roas,d28,"adRevenue,iap",Overall,$3.60 M,$3.12 M,"$1,336,162.38","$1,172,131.94",149.48 m,127.62 m,"1,166,253","1,035,761",$6.89,$7.15,3.09,3.01,37.06 %,37.59 %
roas,d28,"adRevenue,iap",,$3.60 M,$3.12 M,"$1,336,162.38","$1,172,131.94",149.48 m,127.62 m,"1,166,253","1,035,761",$6.89,$7.15,3.09,3.01,37.06 %,37.59 %
roas,d28,,Overall,$0.00,$0.00,$0.00,$0.00,10,47,0,1,$0.00,$0.00,NaN,0.00,NaN,NaN
roas,d28,,,$0.00,$0.00,$0.00,$0.00,10,47,0,1,$0.00,$0.00,NaN,0.00,NaN,NaN
roas,d0,Overall,Overall,$3.11 M,$2.90 M,"$928,210.87","$875,688.92",422.97 m,383.66 m,"10,940,900","10,448,761",$0.31,$0.31,0.28,0.28,29.81 %,30.19 %
roas,d0,adRevenue,Overall,$3.11 M,$2.90 M,"$928,210.87","$875,688.92",422.97 m,383.66 m,"10,940,900","10,448,758",$0.31,$0.31,0.28,0.28,29.81 %,30.19 %
roas,d0,adRevenue,,$3.11 M,$2.90 M,"$928,210.87","$875,688.92",422.97 m,383.66 m,"10,940,900","10,448,758",$0.31,$0.31,0.28,0.28,29.81 %,30.19 %
roas,d0,,Overall,$0.00,$0.00,$0.00,$0.00,37,97,0,3,$0.00,$0.00,NaN,0.00,NaN,NaN
