Campaign Type,Post-Install Window,ROAS Types,App Events Campaign Type,Advertiser Spend,Advertiser Spend (Compare: 1 week back),Net Revenue,Net Revenue (Compare: 1 week back),Starts,Starts (Compare: 1 week back),Installs,Installs (Compare: 1 week back),Average dCPI,Average dCPI (Compare: 1 week back),MMP eCPI,MMP eCPI (Compare: 1 week back),Unity Margin,Unity Margin (Compare: 1 week back)
Overall,Overall,Overall,Overall,$54.36 M,$53.78 M,"$20,112,895.14","$20,013,123.67",3.24 b,3.21 b,"41,940,110","42,288,577",$5.50,$5.43,1.30,1.27,37.00 %,37.21 %
roas,Overall,Overall,Overall,$52.75 M,$52.18 M,"$19,546,158.59","$19,428,584.38",3.07 b,3.05 b,"40,916,449","41,286,657",$5.62,$5.53,1.29,1.26,37.05 %,37.23 %
roas,d7,Overall,Overall,$35.81 M,$35.82 M,"$13,409,724.34","$13,400,325.05",1.79 b,1.83 b,"24,501,516","25,704,984",$6.27,$5.84,1.46,1.39,37.45 %,37.41 %
roas,d7,iap,Overall,$14.07 M,$13.36 M,"$5,934,403.21","$5,638,494.68",668.98 m,628.75 m,"3,656,138","3,268,873",$13.01,$12.85,3.85,4.09,42.19 %,42.21 %
roas,d7,iap,,$14.07 M,$13.36 M,"$5,934,403.21","$5,638,494.68",668.98 m,628.75 m,"3,656,138","3,268,873",$13.01,$12.85,3.85,4.09,42.19 %,42.21 %
roas,d7,adRevenue,Overall,$15.25 M,$15.73 M,"$5,023,025.16","$5,191,534.44",910.00 m,978.83 m,"17,386,658","18,945,654",$1.72,$1.65,0.88,0.83,32.94 %,32.99 %
roas,d7,adRevenue,,$15.25 M,$15.73 M,"$5,023,025.16","$5,191,534.44",910.00 m,978.83 m,"17,386,658","18,945,654",$1.72,$1.65,0.88,0.83,32.94 %,32.99 %
roas,d7,"adRevenue,iap",Overall,$6.50 M,$6.73 M,"$2,452,295.97","$2,570,295.92",208.73 m,218.76 m,"3,458,693","3,490,446",$4.48,$4.43,1.88,1.93,37.75 %,38.21 %
roas,d7,"adRevenue,iap",,$6.50 M,$6.73 M,"$2,452,295.97","$2,570,295.92",208.73 m,218.76 m,"3,458,693","3,490,446",$4.48,$4.43,1.88,1.93,37.75 %,38.21 %
roas,d7,,Overall,$0.00,$0.00,$0.00,$0.00,101,246,27,11,$0.00,$0.00,0.00,0.00,NaN,NaN
roas,d7,,,$0.00,$0.00,$0.00,$0.00,101,246,27,11,$0.00,$0.00,0.00,0.00,NaN,NaN
roas,d28,Overall,Overall,$13.94 M,$13.46 M,"$5,241,787.88","$5,152,570.41",872.54 m,836.93 m,"5,748,927","5,132,912",$6.80,$7.24,2.42,2.62,37.61 %,38.27 %
roas,d28,iap,Overall,$5.50 M,$5.74 M,"$2,433,503.90","$2,528,085.01",186.21 m,206.49 m,"623,501","667,598",$19.84,$19.02,8.81,8.60,44.28 %,44.02 %
roas,d28,iap,,$5.50 M,$5.74 M,"$2,433,503.90","$2,528,085.01",186.21 m,206.49 m,"623,501","667,598",$19.84,$19.02,8.81,8.60,44.28 %,44.02 %
roas,d28,adRevenue,Overall,$5.00 M,$4.60 M,"$1,538,634.53","$1,452,353.46",542.96 m,502.82 m,"4,004,315","3,429,552",$2.32,$2.42,1.25,1.34,30.74 %,31.56 %
roas,d28,adRevenue,,$5.00 M,$4.60 M,"$1,538,634.53","$1,452,353.46",542.96 m,502.82 m,"4,004,315","3,429,552",$2.32,$2.42,1.25,1.34,30.74 %,31.56 %
roas,d28,"adRevenue,iap",Overall,$3.44 M,$3.12 M,"$1,269,649.45","$1,172,131.94",143.38 m,127.62 m,"1,121,111","1,035,761",$6.85,$7.15,3.06,3.01,36.96 %,37.59 %
roas,d28,"adRevenue,iap",,$3.44 M,$3.12 M,"$1,269,649.45","$1,172,131.94",143.38 m,127.62 m,"1,121,111","1,035,761",$6.85,$7.15,3.06,3.01,36.96 %,37.59 %
roas,d28,,Overall,$0.00,$0.00,$0.00,$0.00,10,47,0,1,$0.00,$0.00,NaN,0.00,NaN,NaN
roas,d28,,,$0.00,$0.00,$0.00,$0.00,10,47,0,1,$0.00,$0.00,NaN,0.00,NaN,NaN
roas,d0,Overall,Overall,$3.01 M,$2.90 M,"$894,646.38","$875,688.92",413.38 m,383.66 m,"10,666,006","10,448,761",$0.31,$0.31,0.28,0.28,29.77 %,30.19 %
roas,d0,adRevenue,Overall,$3.01 M,$2.90 M,"$894,646.38","$875,688.92",413.38 m,383.66 m,"10,666,006","10,448,758",$0.31,$0.31,0.28,0.28,29.77 %,30.19 %
roas,d0,adRevenue,,$3.01 M,$2.90 M,"$894,646.38","$875,688.92",413.38 m,383.66 m,"10,666,006","10,448,758",$0.31,$0.31,0.28,0.28,29.77 %,30.19 %
roas,d0,,Overall,$0.00,$0.00,$0.00,$0.00,37,97,0,3,$0.00,$0.00,NaN,0.00,NaN,NaN
roas,d0,,,$0.00,$0.00,$0.00,$0.00,37,97,0,3,$0.00,$0.00,NaN,0.00,NaN,NaN
appEventConversion,Overall,Overall,Overall,$1.61 M,$1.60 M,"$566,736.55","$584,539.29",169.29 m,165.84 m,"1,023,661","1,001,920",$3.37,$3.59,1.57,1.59,35.20 %,36.63 %
appEventConversion,d7,Overall,Overall,$1.61 M,$1.60 M,"$566,736.55","$584,539.29",169.29 m,165.84 m,"1,023,661","1,001,920",$3.37,$3.59,1.57,1.59,35.20 %,36.63 %
appEventConversion,d7,,Overall,$1.61 M,$1.60 M,"$566,736.55","$584,539.29",169.29 m,165.84 m,"1,023,661","1,001,920",$3.37,$3.59,1.57,1.59,35.20 %,36.63 %
appEventConversion,d7,,purchase,$724.76 k,$635.54 k,"$232,599.36","$200,041.99",63.37 m,50.81 m,"508,900","419,525",$5.55,$5.92,1.42,1.51,32.09 %,31.48 %
appEventConversion,d7,,level_complete,$534.90 k,$626.73 k,"$211,496.13","$254,359.35",63.79 m,75.27 m,"339,020","397,081",$3.44,$3.92,1.58,1.58,39.54 %,40.59 %
appEventConversion,d7,,retention,$350.33 k,$333.48 k,"$122,641.05","$130,137.95",42.14 m,39.76 m,"175,741","185,314",$0.00,$0.00,1.99,1.80,35.01 %,39.02 %
