ROAS Types,Post-Install Window,Target Developer Name,Advertiser Spend,Advertiser Spend (Compare: 1 week back),Net Revenue,Net Revenue (Compare: 1 week back),Starts,Starts (Compare: 1 week back),Installs,Installs (Compare: 1 week back),Average dCPI,Average dCPI (Compare: 1 week back),MMP eCPI,MMP eCPI (Compare: 1 week back),Unity Margin,Unity Margin (Compare: 1 week back)
Overall,Overall,Overall,$52183355.31,$52363907.50,$19428584.38,$19447479.50,3046924330,2962662825,41286657,42636717,$5.53,$5.36,1.26,1.23,37.23 %,37.14 %
iap,Overall,Overall,$19100475.92,$18927510.87,$8166579.69,$8270533.22,835237570,775621486,3936471,3841003,$14.38,$14.38,4.85,4.93,42.76 %,43.70 %
iap,d7,Overall,$13357420.48,$13132763.12,$5638494.68,$5669361.26,628749171,578098005,3268873,3218767,$12.85,$12.84,4.09,4.08,42.21 %,43.17 %
iap,d7,PLR Worldwide Sales Ltd (Playrix),$826276.46,$948337.52,$367746.29,$440531.11,19664913,21630949,196108,239223,$12.53,$10.52,4.21,3.96,44.51 %,46.45 %
iap,d7,Century Games-K1,$739469.46,$666051.89,$360125.42,$332869.09,33848497,28885193,70695,62096,$14.08,$14.25,10.46,10.73,48.70 %,49.98 %
iap,d7,DreamGamess,$673040.19,$614590.24,$330706.39,$313534.96,8452334,7913227,34736,32350,$34.96,$34.60,19.38,19.00,49.14 %,51.02 %
iap,d7,UA_HB,$583350.07,$500015.61,$234027.40,$195702.69,9611506,8508425,35470,28790,$28.82,$30.92,16.45,17.37,40.12 %,39.14 %
iap,d7,K1-GOF,$539967.90,$587662.67,$289393.87,$305304.76,15043098,16950820,41127,49645,$22.84,$21.96,13.13,11.84,53.59 %,51.95 %
iap,d7,G-MEI欧美+日韩,$539861.02,$586673.20,$292715.25,$319405.75,10239527,8480325,38742,44434,$21.38,$20.14,13.93,13.20,54.22 %,54.44 %
iap,d7,Century_K1_GOT,$405793.06,$404112.26,$218146.00,$211985.06,11895798,12112330,45248,47419,$16.53,$16.26,8.97,8.52,53.76 %,52.46 %
iap,d7,AuroraPixel,$329999.52,$308699.91,$123905.03,$121808.93,5522680,4738278,38186,37127,$11.28,$10.97,8.64,8.31,37.55 %,39.46 %
iap,d7,Glority Global Group Ltd.,$282105.27,$278291.23,$77871.19,$75017.47,27830948,26589188,126717,128959,$2.61,$2.55,2.23,2.16,27.60 %,26.96 %
iap,d7,SG骏游-代号重生,$278530.64,$340442.90,$127973.29,$152416.86,5064029,5958000,29005,34068,$17.76,$18.62,9.60,9.99,45.95 %,44.77 %
iap,d28,Overall,$5743055.44,$5794747.75,$2528085.01,$2601171.96,206488399,197523481,667598,622236,$19.02,$18.89,8.60,9.31,44.02 %,44.89 %
iap,d28,DreamGamess,$1157354.04,$1044027.90,$484709.23,$450287.35,50653382,45467616,93476,85018,$23.29,$22.66,12.38,12.28,41.88 %,43.13 %
iap,d28,PLR Worldwide Sales Ltd (Playrix),$448139.42,$445449.93,$205806.44,$200326.17,6593642,6462262,34029,32638,$26.70,$26.02,13.17,13.65,45.92 %,44.97 %
iap,d28,Century Games-K1,$302926.52,$266449.78,$156652.69,$139286.37,16968831,14935375,21390,21687,$23.13,$20.70,14.16,12.29,51.71 %,52.27 %
iap,d28,homagames,$290853.52,$358516.78,$124011.44,$149614.34,4001063,4831484,9775,11457,$45.16,$45.29,29.75,31.29,42.64 %,41.73 %
iap,d28,G-MEI欧美+日韩,$269787.45,$302545.89,$127068.76,$147404.92,10524679,8711253,52698,34718,$11.38,$13.19,5.12,8.71,47.10 %,48.72 %
iap,d28,Peak Games (11611),$228028.86,$283023.54,$90429.71,$115651.94,5238688,5650205,16341,18282,$37.56,$37.76,13.95,15.48,39.66 %,40.86 %
iap,d28,K1-GOF,$214055.47,$259241.17,$128618.16,$159247.19,9907842,12633718,34774,47513,$11.21,$9.17,6.16,5.46,60.09 %,61.43 %
iap,d28,Grand Games Oyun ve Yazilim Anonim Şirketi,$195996.84,$156983.95,$87453.67,$74995.53,3041361,1905919,9269,5894,$32.21,$34.20,21.15,26.63,44.62 %,47.77 %
iap,d28,WakeAppUnion2,$180433.93,$146130.37,$60326.70,$46833.42,10236702,7522570,51257,40244,$4.73,$4.42,3.52,3.63,33.43 %,32.05 %
iap,d28,ElitesCastle Ltd.,$110647.36,$114472.19,$51830.53,$58634.75,1523637,1500870,6461,5987,$36.04,$31.83,17.13,19.12,46.84 %,51.22 %
adRevenue,Overall,Overall,$23237710.07,$23468459.38,$7519576.82,$7426916.80,1865304113,1838343330,32823964,34154927,$1.58,$1.53,0.71,0.69,32.36 %,31.65 %
adRevenue,d7,Overall,$15734320.46,$16275792.92,$5191534.44,$5250968.42,978825399,1036636688,18945654,20382587,$1.65,$1.56,0.83,0.80,32.99 %,32.26 %
adRevenue,d7,Learnings,$2291078.60,$1867387.85,$833582.51,$699337.90,114399086,107943928,675709,645703,$4.15,$3.77,3.39,2.89,36.38 %,37.45 %
adRevenue,d7,YuDong24,$1533153.13,$1424308.10,$607361.34,$564025.44,47615327,44965656,388803,377859,$4.02,$3.92,3.94,3.77,39.62 %,39.60 %
adRevenue,d7,Aoemo,$902905.83,$841009.28,$285930.35,$259018.09,31657852,27885541,958800,837182,$0.84,$0.93,0.94,1.00,31.67 %,30.80 %
adRevenue,d7,lihuhudev,$414538.96,$503449.63,$137269.70,$167684.68,16559313,18484105,328829,358933,$1.40,$1.53,1.26,1.40,33.11 %,33.31 %
adRevenue,d7,diguo12,$405775.27,$400553.61,$121489.76,$125475.97,15414491,14708645,208352,195080,$2.39,$2.43,1.95,2.05,29.94 %,31.33 %
adRevenue,d7,flyfoxdev,$376004.76,$401636.04,$119712.25,$126785.38,22258687,23920182,335008,357437,$1.30,$1.46,1.12,1.12,31.84 %,31.57 %
adRevenue,d7,SAYGAMES LTD,$333366.40,$394255.86,$88222.65,$99707.62,18295135,21211843,653605,763505,$0.53,$0.56,0.51,0.52,26.46 %,25.29 %
adRevenue,d7,INPAWAY,$318162.05,$320911.76,$106513.41,$102175.11,12988805,12811127,221409,215268,$1.80,$1.89,1.44,1.49,33.48 %,31.84 %
adRevenue,d7,Lumos Fun,$316916.21,$363359.77,$118460.71,$131316.85,8023691,11213931,93922,122133,$3.96,$3.72,3.37,2.98,37.38 %,36.14 %
adRevenue,d7,VoodooAds,$302789.16,$351876.17,$84960.55,$93554.94,17357637,19981947,575105,631467,$0.63,$0.71,0.53,0.56,28.06 %,26.59 %
adRevenue,d28,Overall,$4602513.64,$4098665.65,$1452353.46,$1291600.87,502816879,414941983,3429552,2656061,$2.42,$2.61,1.34,1.54,31.56 %,31.51 %
adRevenue,d28,Lessmore GmbH,$776347.59,$753800.99,$296742.47,$274997.48,128941404,119169468,513582,483181,$2.11,$2.21,1.51,1.56,38.22 %,36.48 %
adRevenue,d28,Easybrain Ltd,$448640.78,$440543.43,$127881.31,$127613.23,24215232,24882218,125081,120602,$4.44,$4.30,3.59,3.65,28.50 %,28.97 %
adRevenue,d28,Learnings,$223631.67,$181393.22,$73746.50,$62292.69,35655715,25738623,95996,75323,$3.14,$3.28,2.33,2.41,32.98 %,34.34 %
adRevenue,d28,VoodooAds,$172390.86,$170205.46,$49166.23,$47152.78,15226987,15606061,184177,208142,$2.29,$2.13,0.94,0.82,28.52 %,27.70 %
adRevenue,d28,OneSoft- Falcon Studio,$151929.94,$152682.95,$55273.46,$55324.57,15172517,13299754,148294,129595,$1.46,$1.73,1.02,1.18,36.38 %,36.23 %
adRevenue,d28,PlaySimple Games Pte Limited,$151444.96,$181666.77,$43570.64,$50902.39,12438647,13424469,99362,90826,$2.31,$2.92,1.52,2.00,28.77 %,28.02 %
adRevenue,d28,YuDong24,$134466.86,$139291.54,$48327.11,$47415.83,4366928,4731927,16131,16764,$9.11,$9.10,8.34,8.31,35.94 %,34.04 %
adRevenue,d28, unity-guru-go,$118239.75,$106264.80,$36021.58,$33412.20,10725517,8825426,48826,37820,$3.36,$3.50,2.42,2.81,30.46 %,31.44 %
adRevenue,d28,RED INFINITY ,$114332.51,$129282.89,$31418.35,$35119.55,16306582,16469596,55969,70111,$3.08,$2.86,2.04,1.84,27.48 %,27.16 %
adRevenue,d28,Lumos Fun,$112895.92,$57145.43,$36974.22,$17210.47,7612946,5443849,42759,28775,$3.90,$2.89,2.64,1.99,32.75 %,30.12 %
adRevenue,d0,Overall,$2900875.98,$3094000.81,$875688.92,$884347.52,383661835,386764659,10448758,11116279,$0.31,$0.31,0.28,0.28,30.19 %,28.58 %
adRevenue,d0,GAMEYL,$648744.82,$675620.70,$213211.49,$198233.27,92365852,80607256,1087207,1002543,$0.54,$0.58,0.60,0.67,32.87 %,29.34 %
adRevenue,d0,AppCentral,$236084.81,$261940.39,$72910.71,$72720.16,23407531,31380805,690403,858525,$0.26,$0.25,0.34,0.31,30.88 %,27.76 %
adRevenue,d0,TripAds,$95913.84,$92323.41,$23849.61,$20534.42,29199560,28334433,509217,485066,$0.23,$0.22,0.19,0.19,24.87 %,22.24 %
adRevenue,d0,applauda2,$67144.25,$68561.98,$20362.26,$20606.74,2901823,2553772,132602,118972,$0.33,$0.37,0.51,0.58,30.33 %,30.06 %
adRevenue,d0,linhta27,$65486.82,$72402.62,$17992.45,$18346.79,38260769,36982674,536914,543455,$0.11,$0.12,0.12,0.13,27.47 %,25.34 %
adRevenue,d0,HigameUnityads,$52909.93,$61621.31,$13388.00,$15043.98,15488380,20084460,669045,868467,$0.08,$0.07,0.08,0.07,25.30 %,24.41 %
adRevenue,d0,PublishingAmanotes,$50551.78,$57052.21,$11772.70,$13715.92,4126923,4061161,183987,191896,$0.18,$0.20,0.27,0.30,23.29 %,24.04 %
adRevenue,d0,JUYOUHONGKONG,$44040.50,$51836.83,$11673.59,$11793.15,721415,1151112,27305,40158,$1.32,$1.05,1.61,1.29,26.51 %,22.75 %
