feature_name,type,dtype,preprocessor,is_serving_feature,is_campaign_feature,disabled,train_only,load_to_network,max_clip,preprocess_fn,notes
label,label,string,,,,,,,,,
audience_id,categorical,string,CategoricalPreprocessor,true,true,false,,,,,
device_connection_type,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
device_type,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
gamer_creation_delay,scalar,float,GamerAgePreprocessor,false,false,true,,,,,disabled
ad_request_timestamp,raw-int,int,None,true,false,true,,false,,,disabled
gamer_creation_timestamp,raw-int,int,None,true,false,true,,false,,,disabled
gamer_click_count,scalar,float,ScalarPreprocessor,true,false,false,,,1000,log1p_normalize,
gamer_install_count,scalar,float,ScalarPreprocessor,true,false,false,,,100,log1p_normalize,
gamer_start_count,scalar,float,ScalarPreprocessor,true,false,false,,,6000,log1p_normalize,
gamer_view_count,scalar,float,ScalarPreprocessor,true,false,false,,,6000,log1p_normalize,
gamer_start_count_in_last_24_hours,scalar,float,ScalarPreprocessor,true,false,false,,,100,log1p_normalize,
gamer_start_count_in_last_7_days,scalar,float,ScalarPreprocessor,true,false,false,,,400,log1p_normalize,
geolocation_country,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
platform,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
publisher_is_coppa_targeted,raw-int,int,None,true,false,false,,false,,,
publisher_developer_id,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
publisher_game_id,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
publisher_store_id,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
target_game_click_count_in_last_24_hours,scalar,float,ScalarPreprocessor,true,true,false,,,,normalize,
target_game_id,categorical,string,CategoricalPreprocessor,true,true,false,,,,,
target_game_start_count,scalar,float,ScalarPreprocessor,true,true,false,,,,normalize,
target_game_start_count_in_last_24_hours,scalar,float,ScalarPreprocessor,true,true,false,,,,normalize,
target_game_view_count,scalar,float,ScalarPreprocessor,true,true,false,,,,normalize,
target_game_start_count_in_last_7_days,scalar,float,ScalarPreprocessor,true,true,false,,,,normalize,
target_game_view_count_in_last_24_hours,scalar,float,ScalarPreprocessor,true,true,false,,,,normalize,
target_game_view_count_in_last_7_days,scalar,float,ScalarPreprocessor,true,true,false,,,,normalize,
target_store_id,categorical,string,CategoricalPreprocessor,true,true,false,,,,,
hardware_stats_cpu_count,enriched-scalar,float,EnrichedScalarPreprocessor,,false,false,,,16,normalize,"base_feature=device_type; source=hardware_stats"
hardware_stats_ram,enriched-scalar,float,EnrichedScalarPreprocessor,,false,false,,,16384,normalize,"base_feature=device_type; source=hardware_stats"
hardware_stats_dpi,enriched-scalar,float,EnrichedScalarPreprocessor,,false,false,,,640,normalize,"base_feature=device_type; source=hardware_stats"
hardware_stats_cpu,enriched-categorical,float,EnrichedCategoricalPreprocessor,,false,false,,,,,"base_feature=device_type; source=hardware_stats"
hardware_stats_gpu,enriched-categorical,float,EnrichedCategoricalPreprocessor,,false,false,,,,,"base_feature=device_type; source=hardware_stats"
hardware_stats_res,enriched-categorical,float,EnrichedCategoricalPreprocessor,,false,false,,,,,"base_feature=device_type; source=hardware_stats"
uups_attributed_iap_done_d7,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
uups_attributed_iap_nonzero_log_avg_value_d7,scalar,float,ScalarPreprocessor,true,false,false,,,18.4,normalize,
uups_attributed_iap_total_count_d7,scalar,float,ScalarPreprocessor,true,false,false,,,1000,normalize,
uups_attributed_unique_games_with_iaps_count_d7,scalar,float,ScalarPreprocessor,true,false,false,,,25,normalize,
uups_attributed_iap_done_d30,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
uups_attributed_iap_nonzero_log_avg_value_d30,scalar,float,ScalarPreprocessor,true,false,false,,,18.4,normalize,
uups_attributed_iap_total_count_d30,scalar,float,ScalarPreprocessor,true,false,false,,,1000,normalize,
uups_attributed_unique_games_with_iaps_count_d30,scalar,float,ScalarPreprocessor,true,false,false,,,25,normalize,
uups_unattributed_iap_done_d7,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
uups_unattributed_iap_nonzero_log_avg_value_d7,scalar,float,ScalarPreprocessor,true,false,false,,,18.4,normalize,
uups_unattributed_iap_total_count_d7,scalar,float,ScalarPreprocessor,true,false,false,,,1000,normalize,
uups_unattributed_unique_games_with_iaps_count_d7,scalar,float,ScalarPreprocessor,true,false,false,,,25,normalize,
uups_unattributed_iap_done_d30,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
uups_unattributed_iap_nonzero_log_avg_value_d30,scalar,float,ScalarPreprocessor,true,false,false,,,18.4,normalize,
uups_unattributed_iap_total_count_d30,scalar,float,ScalarPreprocessor,true,false,false,,,1000,normalize,
uups_unattributed_unique_games_with_iaps_count_d30,scalar,float,ScalarPreprocessor,true,false,false,,,25,normalize,
uups_uasdk_iap_done_d7,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
uups_uasdk_iap_nonzero_log_avg_value_d7,scalar,float,ScalarPreprocessor,true,false,false,,,18.4,normalize,
uups_uasdk_iap_total_count_d7,scalar,float,ScalarPreprocessor,true,false,false,,,1000,normalize,
uups_uasdk_unique_games_with_iaps_count_d7,scalar,float,ScalarPreprocessor,true,false,false,,,25,normalize,
uups_uasdk_iap_done_d30,categorical,string,CategoricalPreprocessor,true,false,false,,,,,
uups_uasdk_iap_nonzero_log_avg_value_d30,scalar,float,ScalarPreprocessor,true,false,false,,,18.4,normalize,
uups_uasdk_iap_total_count_d30,scalar,float,ScalarPreprocessor,true,false,false,,,1000,normalize,
uups_uasdk_unique_games_with_iaps_count_d30,scalar,float,ScalarPreprocessor,true,false,false,,,25,normalize,
uups_adrev_oecpm_rewarded_total_count_d7,scalar,float,ScalarPreprocessor,true,false,false,,,,normalize,
uups_adrev_oecpm_rewarded_total_sum_d7,scalar,float,ScalarPreprocessor,true,false,false,,,,normalize,
uups_adrev_oecpm_rewarded_total_count_d30,scalar,float,ScalarPreprocessor,true,false,false,,,,normalize,
uups_adrev_oecpm_rewarded_total_sum_d30,scalar,float,ScalarPreprocessor,true,false,false,,,,normalize,
uups_adrev_oecpm_interstitial_total_count_d7,scalar,float,ScalarPreprocessor,true,false,false,,,,normalize,
uups_adrev_oecpm_interstitial_total_sum_d7,scalar,float,ScalarPreprocessor,true,false,false,,,,normalize,
