submit_date,model_type,post_install_window,target_game_id,start_count,avg_cost,avg_max_cost,avg_actual_max_cst
2026-07-06,,d7,105179,43985,2.366054710692279E7,0.0,1.0011878807993665E8
2026-07-06,dep,d7,105179,6531,2.447097832414639E7,0.0,1.0011834090950869E8
2026-07-07,dep,d7,105179,11828,2.688978863510315E7,0.0,1.0011593793709844E8
2026-07-07,,d7,105179,78951,2.6362996550100684E7,0.0,1.0011577045286323E8
2026-07-08,dep,d7,105179,14235,2.740150577351598E7,0.0,1.0012145012265542E8
2026-07-08,,d7,105179,92700,2.5651339563214708E7,0.0,1.0011971183016169E8
2026-07-09,dep,d7,105179,11138,2.6737211069850992E7,0.0,1.00139008E8
2026-07-09,,d7,105179,68256,2.5889865930789992E7,0.0,1.0013900596343166E8
2026-07-10,dep,d7,105179,7915,3.134695435578017E7,0.0,1.00139008E8
2026-07-10,,d7,105179,47327,3.0419923105161965E7,0.0,1.00139008E8
2026-07-11,,d7,105179,44440,2.9701596056975782E7,0.0,1.00139008E8
2026-07-11,dep,d7,105179,7578,2.997636702903141E7,0.0,1.00139008E8
2026-07-12,,d7,105179,45090,3.082091805371476E7,0.0,1.00139008E8
2026-07-12,dep,d7,105179,7754,3.1195531275470715E7,0.0,1.00139008E8
2026-07-13,,d7,105179,57937,2.7208575825465564E7,0.0,1.00139008E8
2026-07-13,dep,d7,105179,9219,2.7817820449289493E7,0.0,1.00139008E8
2026-07-14,,d7,105179,70941,2.5462118254197154E7,0.0,1.00139008E8
2026-07-14,dep,d7,105179,11331,2.6547692741152547E7,0.0,1.00139008E8
2026-07-15,,d7,105179,62270,2.5313990527493168E7,0.0,1.00139008E8
2026-07-15,dep,d7,105179,11335,2.5525604829025112E7,0.0,1.00139008E8
2026-07-16,dep,d7,105179,8980,2.8554310704231594E7,0.0,1.00139008E8
2026-07-16,,d7,105179,49640,2.8008151626732472E7,0.0,1.00139008E8
2026-07-17,dep,d7,105179,11655,2.4206403873444874E7,0.0,1.00139008E8
2026-07-17,,d7,105179,64428,2.3545453719407767E7,0.0,1.00139008E8
2026-07-18,,d7,105179,56986,2.7174907767381497E7,0.0,1.00139008E8
2026-07-18,dep,d7,105179,10592,2.7553207404645033E7,0.0,1.00139008E8
2026-07-19,dep,d7,105179,7235,3.6295110509329654E7,0.0,1.00139008E8
2026-07-19,,d7,105179,37429,3.586035288383343E7,0.0,1.00139008E8
2026-07-20,,d7,105179,43761,3.673889862807059E7,0.0,1.00139008E8
2026-07-20,dep,d7,105179,8805,3.693736327597959E7,0.0,1.00139008E8
2026-07-21,dep,d7,105179,11183,3.1767172142090682E7,0.0,1.00139008E8
2026-07-21,,d7,105179,53951,3.1713000785564687E7,0.0,1.00139008E8
2026-07-22,dep,d7,105179,13008,2.657069861531368E7,0.0,1.00139008E8
2026-07-22,,d7,105179,61505,2.608279723645228E7,0.0,1.00139008E8
2026-07-23,,d7,105179,62115,2.510980606657008E7,0.0,1.00139008E8
2026-07-23,dep,d7,105179,12756,2.5264846399733476E7,0.0,1.00139008E8
2026-07-24,dep,d7,105179,10998,2.81932162749591E7,0.0,1.00139008E8
2026-07-24,,d7,105179,50916,2.7675740102659296E7,0.0,1.00139008E8
2026-07-25,dep,d7,105179,7210,3.268102415409158E7,0.0,1.00139008E8
2026-07-25,,d7,105179,31908,3.26307595811709E7,0.0,1.00139008E8
2026-07-26,,d7,105179,43683,3.3462224462674316E7,0.0,1.00139008E8
2026-07-26,dep,d7,105179,9625,3.369387564197398E7,0.0,1.00139008E8
2026-07-27,,d7,105179,48929,3.2389491190357443E7,0.0,1.00139008E8
2026-07-27,dep,d7,105179,10623,3.293059445486206E7,0.0,1.00139008E8
2026-07-28,,d7,105179,106266,2.5642639575706255E7,0.0,1.00139008E8
2026-07-28,dep,d7,105179,21988,2.7166090444242317E7,0.0,1.00139008E8
2026-07-29,,d7,105179,79826,3.203143732915332E7,0.0,1.00139008E8
2026-07-29,dep,d7,105179,17164,3.2410194346422777E7,0.0,1.00139008E8
2026-07-30,,d7,105179,70678,3.5479295798239894E7,0.0,1.00139008E8
2026-07-30,dep,d7,105179,15631,3.566201942889126E7,0.0,1.00139008E8
2026-07-31,,d7,105179,78629,3.0892731205331385E7,0.0,1.00139008E8
2026-07-31,dep,d7,105179,17455,3.190084301586933E7,0.0,1.00139008E8
2026-08-01,dep,d7,105179,16241,3.1498665978449643E7,0.0,1.00139008E8
2026-08-01,,d7,105179,72361,3.14617451061622E7,0.0,1.00139008E8
2026-08-02,dep,d7,105179,13728,3.1484172022363026E7,0.0,1.00139008E8
2026-08-02,,d7,105179,60742,3.1638309703533057E7,0.0,1.00139008E8
2026-08-03,,d7,105179,47245,3.438411649996827E7,0.0,1.00139008E8
2026-08-03,dep,d7,105179,10529,3.3977428318643734E7,0.0,1.00139008E8
