campaign_id,campaign_type,post_install_window,first_seen,last_seen,active_days,total_predictions
69cbf8409dce3860b361467d,,d7,2026-07-01,2026-08-03,34,6486573
6a33ff4d122da4a319d29dc2,,d28,2026-07-01,2026-08-03,34,2977623
69303b5cefecbd1ee2f946fa,,d7,2026-07-01,2026-08-03,34,2643102
69cbf8409dce3860b361467d,dep,d7,2026-07-01,2026-08-03,34,1230292
6a33ca9df86be188f4bebfb6,,d7,2026-07-01,2026-07-12,12,580590
69303b5cefecbd1ee2f946fa,dep,d7,2026-07-01,2026-08-03,34,463603
69a6c2ea28fa19069f94cb0a,,d7,2026-07-01,2026-08-03,34,274671
6a33ff4d122da4a319d29dc2,dep,d28,2026-07-01,2026-08-03,34,119866
6a33ca9df86be188f4bebfb6,dep,d7,2026-07-01,2026-07-12,12,75482
69a6c2ea28fa19069f94cb0a,dep,d7,2026-07-01,2026-08-03,34,55641
6a33ca9df86be188f4bebfb6,adrev-depositor,d7,2026-07-01,2026-07-12,12,19496
