submit_date,model_type,post_install_window,target_game_id,start_count,avg_cost,avg_max_cost,avg_actual_max_cst
2026-07-01,dep,d7,125423,33269,1.6489600240494186E7,9893895.21777028,1.0170768165343104E8
2026-07-01,adrev-depositor,d7,125423,1358,3461671.5530191436,0.0,1.0004462996170822E8
2026-07-01,dep,d28,125423,1081,2.051349677150787E7,0.0,1.0001478808510639E8
2026-07-01,,d28,125423,48847,1.7218651789854083E7,0.0,1.0000209165107366E8
2026-07-01,,d7,125423,243018,1.484379629524971E7,8613189.14648296,1.0149424868255036E8
2026-07-02,dep,d7,125423,35410,1.669268376718443E7,1.2057610844394246E7,1.0212991678282985E8
2026-07-02,dep,d28,125423,1218,1.9293873442528743E7,0.0,1.0001540729064041E8
2026-07-02,,d7,125423,248451,1.5170722031297943E7,1.0618109808372665E7,1.0189061351918893E8
2026-07-02,adrev-depositor,d7,125423,1732,2768093.25404157,0.0,1.001297782540416E8
2026-07-02,,d28,125423,56297,1.862999368262963E7,0.0,1.0000196547538942E8
2026-07-03,dep,d7,125423,39223,1.668693292802689E7,1.4397674833643513E7,1.0251931571741062E8
2026-07-03,adrev-depositor,d7,125423,2398,2140945.846538779,0.0,1.0013286335946627E8
2026-07-03,dep,d28,125423,1475,1.837432985559321E7,0.0,1.000149845911864E8
2026-07-03,,d7,125423,277937,1.5268930421904981E7,1.1923709329812156E7,1.0210787622507268E8
2026-07-03,,d28,125423,66109,1.682669779152613E7,0.0,1.000019996764132E8
2026-07-04,,d28,125423,68542,1.7357387789209522E7,0.0,1.0000317798628582E8
2026-07-04,dep,d28,125423,1609,1.885919990428835E7,0.0,1.0002315360099441E8
2026-07-04,dep,d7,125423,41099,1.5446835888853721E7,1.1325823012725398E7,1.0200794375804773E8
2026-07-04,adrev-depositor,d7,125423,2379,2250098.7894073105,0.0,1.001291915460277E8
2026-07-04,,d7,125423,293037,1.4024077345133893E7,9948095.291720867,1.0177885748292544E8
2026-07-05,,d7,125423,316381,1.504511808900978E7,9825874.499416836,1.0175866744159742E8
2026-07-05,dep,d7,125423,45108,1.6420531932118451E7,1.1590848629954752E7,1.0205216292843841E8
2026-07-05,adrev-depositor,d7,125423,2474,2662518.5933710625,0.0,1.0012659055133387E8
2026-07-05,dep,d28,125423,2618,1.7234276743697472E7,0.0,1.0001815918105425E8
2026-07-05,,d28,125423,110275,1.6083134090092963E7,0.0,1.0000286020541361E8
2026-07-06,adrev-depositor,d7,125423,2378,2651894.7573591275,0.0,1.0012492014129533E8
2026-07-06,,d28,125423,76831,1.6156056569496667E7,0.0,1.0000282246072553E8
2026-07-06,dep,d28,125423,1801,1.849997558134369E7,0.0,1.0002137990893953E8
2026-07-06,dep,d7,125423,34122,1.6772702881835729E7,1.4703710216282746E7,1.025666799479514E8
2026-07-06,,d7,125423,232288,1.5072388623841966E7,1.2694930431188889E7,1.0223229161923133E8
2026-07-07,,d7,125423,223188,1.500467344854115E7,1.0275283617398817E7,1.0183027833725825E8
2026-07-07,dep,d7,125423,32103,1.6420510151792675E7,1.2054948135688271E7,1.021258260653521E8
2026-07-07,adrev-depositor,d7,125423,2214,2754428.093495933,0.0,1.0012670196205956E8
2026-07-07,dep,d28,125423,1469,2.2311861917631038E7,0.0,1.0002043956977546E8
2026-07-07,,d28,125423,64513,1.9585758391983036E7,0.0,1.0000267186334524E8
2026-07-08,,d28,125423,47563,1.8094944165212512E7,0.0,1.0000227086634582E8
2026-07-08,,d7,125423,221528,1.6352271212216944E7,1.0781842475894682E7,1.0191747426384005E8
2026-07-08,dep,d28,125423,1093,2.1763506508691646E7,0.0,1.0001755087282711E8
2026-07-08,dep,d7,125423,33318,1.819334364580709E7,1.1867459031154346E7,1.0209795317750184E8
2026-07-08,adrev-depositor,d7,125423,1318,2675125.6236722316,0.0,1.0012550798179051E8
2026-07-09,,d7,125423,244658,1.5369291892723717E7,9863074.168839814,1.0177651176352319E8
