submit_date,model_type,post_install_window,target_game_id,start_count,avg_cost,avg_max_cost,avg_actual_max_cst
2026-07-01,adrev-depositor,d7,125424,2585,1443177.6936170205,0.0,1.0003909431953572E8
2026-07-01,dep,d7,125424,100230,1.3327506735478401E7,3803950.912900326,1.0114122793223587E8
2026-07-01,dep,d28,125424,885,4.4197435574011356E7,0.0,1.0002764452881345E8
2026-07-01,,d7,125424,555292,1.2627565388419084E7,3358530.286768042,1.0092046144722411E8
2026-07-01,,d28,125424,34540,4.3817962410538435E7,0.0,1.0000292987330608E8
2026-07-02,,d7,125424,604440,1.561531605023657E7,4328618.225134004,1.0146838650339481E8
2026-07-02,dep,d7,125424,114290,1.6350608402659914E7,4713185.755534178,1.0165490944145586E8
2026-07-02,dep,d28,125424,4261,3.603687348486284E7,0.0,1.0005307815442377E8
2026-07-02,adrev-depositor,d7,125424,2005,1871949.767581047,0.0,1.001236165905237E8
2026-07-02,,d28,125424,140761,3.844535988791632E7,0.0,1.000072100752908E8
2026-07-03,dep,d7,125424,110997,1.815110089117724E7,4556159.175473208,1.0179117458468263E8
2026-07-03,,d7,125424,595300,1.7391077620445147E7,4067848.143793044,1.0153963353920381E8
2026-07-03,dep,d28,125424,3106,3.789894059047014E7,0.0,1.0003880229748909E8
2026-07-03,adrev-depositor,d7,125424,2671,2061690.1149382251,0.0,1.001300565301387E8
2026-07-03,,d28,125424,118451,4.064117605910461E7,0.0,1.0000463551679628E8
2026-07-04,dep,d28,125424,3235,3.738473588377134E7,0.0,1.0005783764080372E8
2026-07-04,dep,d7,125424,122179,1.7490371185891215E7,3350944.106597697,1.0112205048029517E8
2026-07-04,,d28,125424,96177,3.783107092627137E7,0.0,1.0000808231423314E8
2026-07-04,adrev-depositor,d7,125424,3128,2388884.8011508887,0.0,1.0013087549872144E8
2026-07-04,,d7,125424,650396,1.67141376897936E7,2965447.20447235,1.0094091063172586E8
2026-07-05,,d7,125424,729920,1.5666491868362313E7,2482135.0284962747,9.997369316291103E7
2026-07-05,dep,d28,125424,3199,3.759317681994374E7,0.0,1.0004162852891523E8
2026-07-05,adrev-depositor,d7,125424,2305,2830544.4607375264,0.0,1.0012869547592169E8
2026-07-05,dep,d7,125424,135617,1.6288923849819712E7,2694020.661126559,1.0008771411536905E8
2026-07-05,,d28,125424,113813,3.834103685306597E7,0.0,1.0000538502870496E8
2026-07-06,dep,d28,125424,3495,3.74304216440629E7,0.0,1.0005516569270375E8
2026-07-06,adrev-depositor,d7,125424,2686,2482772.9806403653,0.0,1.0012632856589732E8
2026-07-06,,d28,125424,106194,3.670369333709063E7,0.0,1.0000753722492795E8
2026-07-06,,d7,125424,699346,1.4813104267897433E7,3188214.417470036,1.0098313162114319E8
2026-07-06,dep,d7,125424,133145,1.5389919272822846E7,3566299.8986067763,1.0115486871654168E8
2026-07-07,dep,d7,125424,112423,1.4662925017941179E7,3717255.3658948713,1.0062782005589598E8
2026-07-07,,d7,125424,586149,1.4112020527741244E7,3411700.779153429,1.0045648750667849E8
2026-07-07,adrev-depositor,d7,125424,2585,2562102.5860734982,0.0,1.0012669355822048E8
2026-07-07,dep,d28,125424,2801,3.7337304505176604E7,0.0,1.0006754369439477E8
2026-07-07,,d28,125424,71915,3.581082589265117E7,0.0,1.0001133287775828E8
2026-07-08,,d28,125424,39630,3.944795329560934E7,0.0,1.0001203473247556E8
2026-07-08,,d7,125424,490513,1.4660937636582503E7,5534389.506496264,1.0177379792861761E8
2026-07-08,dep,d28,125424,1588,4.060014757052888E7,0.0,1.0007388082619649E8
2026-07-08,dep,d7,125424,98022,1.5153300818316303E7,6068790.679643355,1.0209269996368147E8
2026-07-08,adrev-depositor,d7,125424,1169,2909967.3481608196,0.0,1.0012890048930727E8
2026-07-09,,d7,125424,446030,1.4193294055455953E7,5603378.696500237,1.0137661603519031E8
2026-07-09,,d28,125424,54409,3.9018219250675246E7,0.0,1.0000498455417304E8
2026-07-09,dep,d7,125424,90687,1.4631996109508544E7,6071653.048397234,1.0167399039386037E8
2026-07-09,adrev-depositor,d7,125424,850,2455164.669411762,0.0,1.00139008E8
2026-07-09,dep,d28,125424,1542,3.967961138197149E7,0.0,1.0004561481712073E8
2026-07-10,dep,d28,125424,1023,3.857700403030298E7,0.0,1.0003994951319641E8
2026-07-10,,d28,125424,37245,3.935764952482205E7,0.0,1.000044973725332E8
2026-07-10,,d7,125424,371198,1.5938555896898692E7,5141972.7476979885,1.0142121915674132E8
2026-07-10,dep,d7,125424,76981,1.6334078727153469E7,5379379.327366496,1.0144187280622478E8
2026-07-10,adrev-depositor,d7,125424,760,3002154.8342105253,0.0,1.00139008E8
2026-07-11,,d7,125424,356360,1.679087168644348E7,5089530.2503086645,1.0003264772109073E8
2026-07-11,dep,d28,125424,647,3.762261517928904E7,0.0,1.0001675830602784E8
2026-07-11,,d28,125424,28007,3.742352725008025E7,0.0,1.0000135995258297E8
2026-07-11,adrev-depositor,d7,125424,880,3637056.704545458,0.0,1.00139008E8
2026-07-11,dep,d7,125424,73364,1.7233343901450288E7,5197099.394798546,1.0014969275132227E8
2026-07-12,,d28,125424,29181,3.888687877399672E7,0.0,1.0E8
2026-07-12,dep,d28,125424,559,4.034246423255814E7,0.0,1.0E8
