campaign_id,campaign_type,post_install_window,first_seen,last_seen,active_days,total_predictions
65608d69b8fba9347ae12269,,d7,2026-07-01,2026-08-03,34,20660097
68a720d522003c19a6f51b07,,d28,2026-07-01,2026-08-03,34,11557150
6682c4a669b9ba47ef331a05,,d7,2026-07-01,2026-08-03,34,6927226
65608d69b8fba9347ae12269,dep,d7,2026-07-01,2026-08-03,34,5075660
6a0de9284d1081080069c10f,,d7,2026-07-01,2026-08-03,34,3549091
68fa2aabbbf934c2a26aed03,,d28,2026-07-01,2026-08-03,34,3166901
6682c4a669b9ba47ef331a05,dep,d7,2026-07-01,2026-08-03,34,1723320
68fa27657abd5eacdef89926,,d28,2026-07-01,2026-08-03,34,1697554
6a26dde234829a2b94da369b,,d7,2026-07-01,2026-07-30,30,1119201
6a0de9284d1081080069c10f,dep,d7,2026-07-01,2026-08-03,34,808713
68a720d522003c19a6f51b07,dep,d28,2026-07-01,2026-08-03,34,472588
67b72a8e3f61a449047d56ad,,d7,2026-07-01,2026-08-03,34,456137
6a33c8c024e697c6ff2f0d61,,d7,2026-07-01,2026-07-09,9,316545
6a26dde234829a2b94da369b,purchase,d7,2026-07-01,2026-07-29,29,219076
67b72a8e3f61a449047d56ad,dep,d7,2026-07-01,2026-08-03,34,121895
68fa2aabbbf934c2a26aed03,dep,d28,2026-07-01,2026-08-03,34,113544
68fa27657abd5eacdef89926,dep,d28,2026-07-01,2026-08-03,34,57941
6a33c8c024e697c6ff2f0d61,dep,d7,2026-07-01,2026-07-09,9,53065
6a33c8c024e697c6ff2f0d61,adrev-depositor,d7,2026-07-01,2026-07-09,9,13610
