submit_date,model_type,post_install_window,target_game_id,start_count,avg_cost,avg_max_cost,avg_actual_max_cst
2026-07-01,dep,d7,12723,92060,9030552.338659568,3.649989137519021E7,1.1144991758070807E8
2026-07-01,adrev-depositor,d7,12723,1997,3486884.3350025,0.0,1.001048302694042E8
2026-07-01,dep,d28,12723,6442,3.975226024961198E7,1.53741074200559E8,1.7694357995653537E8
2026-07-01,,d28,12723,228855,3.892294449813636E7,1.5259880710493508E8,1.763078112723607E8
2026-07-01,purchase,d7,12723,8851,6026551.062139879,1.94E8,0.0
2026-07-01,,d7,12723,562880,8115985.3898824,4.716357305287089E7,9.970462533598642E7
2026-07-02,,d7,12723,642347,9837144.240049362,5.2851290657541744E7,1.0250097358672509E8
2026-07-02,dep,d7,12723,109779,1.0981493060494246E7,4.46892392898459E7,1.1376505088310136E8
2026-07-02,purchase,d7,12723,11208,6036064.551124202,1.94E8,0.0
2026-07-02,adrev-depositor,d7,12723,2058,3926495.0262390673,0.0,1.0013536055976672E8
2026-07-02,,d28,12723,252765,3.951826266533346E7,1.5335904891895682E8,1.7669151006014284E8
2026-07-02,dep,d28,12723,7754,3.9662893608460106E7,1.5579055971111673E8,1.7798825064328086E8
2026-07-03,dep,d7,12723,117507,1.3615725364191072E7,4.6906737470959246E7,1.1433587595632622E8
2026-07-03,adrev-depositor,d7,12723,1732,4289539.9347575065,0.0,1.0012640739030035E8
2026-07-03,,d7,12723,670409,1.2302773098134113E7,5.285059418951713E7,1.0509042872233517E8
2026-07-03,dep,d28,12723,8626,4.366804745780211E7,1.6002782286111778E8,1.8007614756503585E8
2026-07-03,,d28,12723,329187,4.413647426621971E7,1.583580153529753E8,1.7918574172302088E8
2026-07-03,purchase,d7,12723,9464,6354812.881656816,1.94E8,0.0
2026-07-04,dep,d28,12723,8992,5.04023213826734E7,1.5858540925266916E8,1.793583283985768E8
2026-07-04,,d28,12723,335039,4.637829376470509E7,1.568121920134668E8,1.784133542839848E8
2026-07-04,dep,d7,12723,142187,1.4137163278485373E7,5.224690020887986E7,1.1613500274787453E8
2026-07-04,adrev-depositor,d7,12723,1750,4608933.782285716,0.0,1.0012939658971442E8
2026-07-04,purchase,d7,12723,9019,7009167.077059545,1.94E8,0.0
2026-07-04,,d7,12723,786879,1.2915968014025068E7,5.5520787821253255E7,1.0837040005640513E8
