campaign_id,campaign_type,post_install_window,first_seen,last_seen,active_days,total_predictions
68a490032354fd967f738e12,,d7,2026-07-01,2026-08-03,34,43822838
693038a69591d9e704b1568e,,d28,2026-07-01,2026-08-03,34,9110433
68a490032354fd967f738e12,dep,d7,2026-07-01,2026-08-03,34,7538367
6a0de9cacf5dbbed671ee3e5,,d7,2026-07-01,2026-08-03,34,6774350
69303488cfdfa2a45e8483e6,,d28,2026-07-01,2026-08-03,34,5866899
684ab42d741c310392ec4a38,,d7,2026-07-01,2026-08-03,34,4960709
6930382234100a6cc372c3fa,,d28,2026-07-01,2026-08-03,34,1312108
6a0de9cacf5dbbed671ee3e5,dep,d7,2026-07-01,2026-08-03,34,1202548
684ab42d741c310392ec4a38,dep,d7,2026-07-01,2026-08-03,34,958696
68a48a026e02fe72cdf2392a,,d7,2026-07-01,2026-08-03,34,699944
6a33c97f24e697c6ff384e4f,,d7,2026-07-01,2026-07-09,9,465775
6a26dfcacae38d5304cb86da,,d7,2026-07-01,2026-07-21,21,390960
693038a69591d9e704b1568e,dep,d28,2026-07-01,2026-08-03,34,272322
69303488cfdfa2a45e8483e6,dep,d28,2026-07-01,2026-08-03,34,187356
68a48a026e02fe72cdf2392a,dep,d7,2026-07-01,2026-08-03,34,142938
6a33c97f24e697c6ff384e4f,dep,d7,2026-07-01,2026-07-08,8,60280
6a26dfcacae38d5304cb86da,purchase,d7,2026-07-01,2026-07-20,20,59390
6930382234100a6cc372c3fa,dep,d28,2026-07-01,2026-08-03,34,41393
6a33c97f24e697c6ff384e4f,adrev-depositor,d7,2026-07-01,2026-07-08,8,15557
