submit_date,model_type,post_install_window,target_game_id,start_count,avg_cost,avg_max_cost,avg_actual_max_cst
2026-07-01,dep,d7,13327,209204,5191633.447878612,0.0,1.0006450658518979E8
2026-07-01,adrev-depositor,d7,13327,2313,2491147.737570254,0.0,1.0006562764202353E8
2026-07-01,dep,d28,13327,10602,2.2336309007168446E7,4.135540464063399E7,1.1380209513374835E8
2026-07-01,,d7,13327,1620312,4630029.0050984025,1913180.9182429072,9.89377581944417E7
2026-07-01,purchase,d7,13327,2487,8873639.427824685,1.7E8,0.0
2026-07-01,,d28,13327,420542,1.996804712837248E7,3.87660447707957E7,1.1292473970021552E8
2026-07-02,dep,d7,13327,219829,7271899.461572416,0.0,1.0012791538557698E8
2026-07-02,,d7,13327,1613804,6511939.335520906,2570324.525159183,9.861337980794698E7
2026-07-02,purchase,d7,13327,3840,9749682.652604163,1.7E8,0.0
2026-07-02,dep,d28,13327,11530,2.320119977562873E7,4.6261925411968745E7,1.154324658733738E8
2026-07-02,,d28,13327,468740,2.236394172337966E7,4.5467209967145935E7,1.1515747444399872E8
2026-07-02,adrev-depositor,d7,13327,2044,3463316.158023483,0.0,1.0013370338943245E8
2026-07-03,dep,d28,13327,11441,2.2755765356437396E7,4.845730268333185E7,1.161599089086619E8
2026-07-03,adrev-depositor,d7,13327,1913,5624077.180867746,0.0,1.0012512899947724E8
2026-07-03,dep,d7,13327,232356,7204772.392505472,0.0,1.0012565914951174E8
2026-07-03,,d7,13327,1710322,6509533.047046693,2661639.1533290194,9.85573985633489E7
2026-07-03,,d28,13327,504485,2.2199276744846746E7,4.724620157190011E7,1.157497545890801E8
2026-07-03,purchase,d7,13327,4161,9227089.168228805,1.7E8,0.0
2026-07-04,dep,d28,13327,11731,2.4917877498593412E7,4.667121302531765E7,1.1556784827891919E8
2026-07-04,,d28,13327,479403,2.2300858546552714E7,4.3881765445773214E7,1.1462884000989568E8
2026-07-04,dep,d7,13327,246601,7580369.54863931,0.0,1.0012551142640962E8
2026-07-04,adrev-depositor,d7,13327,1961,5028025.682814891,0.0,1.001287294890363E8
2026-07-04,purchase,d7,13327,3407,9642496.39095981,1.7E8,0.0
2026-07-04,,d7,13327,1807118,6784503.821944665,2075896.538023528,9.890225766436954E7
2026-07-05,,d7,13327,2095499,6917822.263291933,2016961.1152284024,9.893772738482998E7
2026-07-05,dep,d7,13327,289107,7638570.706001577,0.0,1.001263417977151E8
2026-07-05,adrev-depositor,d7,13327,2244,4953922.28966132,0.0,1.0012810541176455E8
2026-07-05,dep,d28,13327,13933,2.4341151678748317E7,4.774635756836298E7,1.159268817202327E8
2026-07-05,purchase,d7,13327,3864,8390507.845755702,1.7E8,0.0
2026-07-05,,d28,13327,563223,2.2411625347565707E7,4.461332367463701E7,1.1487288232339953E8
2026-07-06,,d7,13327,1462391,6553723.054804763,2018297.4320821199,9.893709920059437E7
2026-07-06,dep,d28,13327,11718,2.514214120882406E7,5.176651305683556E7,1.1726582579689385E8
2026-07-06,,d28,13327,482368,2.263076675785914E7,4.928747346424315E7,1.1643064456521182E8
2026-07-06,adrev-depositor,d7,13327,2102,4327178.519980969,0.0,1.0012902217316832E8
2026-07-06,purchase,d7,13327,2708,8067872.061299842,1.7E8,0.0
2026-07-06,dep,d7,13327,202893,7230213.679151075,0.0,1.0012631528902432E8
2026-07-07,dep,d7,13327,176954,7760891.933971535,0.0,1.0012529054972485E8
2026-07-07,,d7,13327,1252606,7098227.668594115,2253174.5816322123,9.879782165869229E7
2026-07-07,adrev-depositor,d7,13327,2111,4249918.198957837,0.0,1.001293939933681E8
2026-07-07,purchase,d7,13327,2647,9775985.32716281,1.7E8,0.0
2026-07-07,,d28,13327,492348,2.2986108400763277E7,5.175180969558112E7,1.1725200906285769E8
2026-07-07,dep,d28,13327,12110,2.4836966216597807E7,5.497109826589597E7,1.1833354044459103E8
2026-07-08,purchase,d7,13327,3000,9310181.203666642,1.7E8,0.0
2026-07-08,,d28,13327,544879,2.5470852794033144E7,6.581837435467331E7,1.2194176970666885E8
2026-07-08,,d7,13327,1197922,7205711.905253428,2633894.3604007647,9.857464581115644E7
2026-07-08,dep,d28,13327,14450,2.67480395346712E7,6.544982698961946E7,1.2183208560498238E8
2026-07-08,dep,d7,13327,175616,7849431.654928924,0.0,1.0012618259329447E8
2026-07-08,adrev-depositor,d7,13327,869,4622927.817031076,0.0,1.0012989009896433E8
2026-07-09,purchase,d7,13327,2824,9256952.863668583,1.7E8,0.0
2026-07-09,,d28,13327,610406,2.44457965523668E7,6.6317090592163205E7,1.2210814920545328E8
