campaign_id,campaign_type,post_install_window,first_seen,last_seen,active_days,total_predictions
66df1671a359526676a4b4ec,,d7,2026-07-01,2026-08-03,34,3908682
694189e56ed0e74b6b954ca3,,d28,2026-07-01,2026-08-03,34,2263624
66df1671a359526676a4b4ec,dep,d7,2026-07-01,2026-08-03,34,882244
6744ac20bd00f8de47d8ef15,,d7,2026-07-01,2026-08-03,34,818494
689c99a88c67ba5888b43a22,,d7,2026-07-01,2026-08-03,34,442787
6744ac20bd00f8de47d8ef15,dep,d7,2026-07-01,2026-08-03,34,195130
694187448f2caac9cf220e16,,d28,2026-07-01,2026-08-03,34,118919
689c99a88c67ba5888b43a22,dep,d7,2026-07-01,2026-08-03,34,107086
698b716534c26735da3168c3,,d28,2026-07-01,2026-08-03,34,93609
694189e56ed0e74b6b954ca3,dep,d28,2026-07-01,2026-08-03,34,58724
694187448f2caac9cf220e16,dep,d28,2026-07-01,2026-08-03,34,4055
698b716534c26735da3168c3,dep,d28,2026-07-01,2026-08-03,34,2618
