submit_date,model_type,post_install_window,target_game_id,start_count,avg_cost,avg_max_cost,avg_actual_max_cst
2026-07-01,,d28,140631,85415,9136128.869168174,0.0,1.0000436154586436E8
2026-07-01,,d7,140631,154263,1.0479035045552116E7,5568412.3866384,1.0285817834944212E8
2026-07-01,dep,d7,140631,27661,1.0974367124435132E7,6550739.30805105,1.0334837888087909E8
2026-07-01,dep,d28,140631,2237,9128695.5046938,0.0,1.0003510930710772E8
2026-07-02,,d28,140631,105193,9496006.444982085,0.0,1.0000807277929127E8
2026-07-02,dep,d28,140631,3206,8001614.562383032,0.0,1.0005571593262634E8
2026-07-02,,d7,140631,197858,1.1743702435110027E7,8595053.017820856,1.0443068917255795E8
2026-07-02,dep,d7,140631,36658,1.225529908562934E7,9760488.842817387,1.0501441759135808E8
2026-07-03,,d7,140631,194786,1.3982817413664205E7,9364122.678221246,1.0481395001940589E8
2026-07-03,,d28,140631,119122,1.2366019594508136E7,0.0,1.000036863574486E8
2026-07-03,dep,d7,140631,36184,1.4673295843439115E7,1.065664382047314E7,1.0546187085739575E8
2026-07-03,dep,d28,140631,2929,1.1995694518265633E7,0.0,1.000293772454764E8
2026-07-04,dep,d7,140631,29777,1.5777392946771007E7,9812942.87537361,1.050385049959365E8
2026-07-04,dep,d28,140631,2476,1.3919281442649422E7,0.0,1.0003817667205167E8
2026-07-04,,d7,140631,159933,1.5106948344419235E7,8819943.35127836,1.0454051488780928E8
2026-07-04,,d28,140631,90044,1.5456502777664218E7,0.0,1.0000471006849976E8
2026-07-05,,d7,140631,212884,1.6456527030664587E7,1.1481370135848625E7,1.058763419985343E8
2026-07-05,,d28,140631,154761,1.2237048963698853E7,0.0,1.0000484854184178E8
2026-07-05,dep,d7,140631,38852,1.690921408578707E7,1.3044373520024706E7,1.066592126115514E8
2026-07-05,dep,d28,140631,4115,1.2098100860753346E7,0.0,1.0003776693657362E8
2026-07-06,dep,d28,140631,3411,1.077345134124892E7,0.0,1.0003480294107307E8
2026-07-06,dep,d7,140631,34875,1.524034355994264E7,1.5546953405017946E7,1.0791006526577781E8
2026-07-06,,d7,140631,186163,1.4345409862051006E7,1.369337623480498E7,1.0698166318815205E8
2026-07-06,,d28,140631,131862,1.0100800513294196E7,0.0,1.000039405735088E8
2026-07-07,,d7,140631,188196,1.4706319941289926E7,2.01492061467831E7,1.1021360294841582E8
2026-07-07,,d28,140631,90426,1.0611869909119034E7,0.0,1.0000353107929134E8
2026-07-07,dep,d28,140631,2265,1.1065547996467978E7,0.0,1.000304406039735E8
2026-07-07,dep,d7,140631,36644,1.5380525507340914E7,2.282501910271802E7,1.1155305011417973E8
2026-07-08,dep,d28,140631,1243,1.0280848121480294E7,0.0,1.0002717533708766E8
2026-07-08,,d7,140631,135539,1.4302742607766056E7,1.92534989929098E7,1.097667410412058E8
2026-07-08,dep,d7,140631,27054,1.455016655821691E7,2.0484956013898116E7,1.1038360807037771E8
2026-07-08,,d28,140631,51998,1.0813379491845844E7,0.0,1.0000277224693272E8
2026-07-09,dep,d28,140631,2327,1.0154920500214862E7,0.0,1.0004014326428886E8
2026-07-09,,d28,140631,83259,1.0071407357582942E7,0.0,1.00004993729543E8
2026-07-09,dep,d7,140631,9058,2.387082977953186E7,4.809008611172444E7,1.2421742955001087E8
2026-07-09,,d7,140631,43010,2.2799006362473857E7,4.541269472215759E7,1.2287683820060451E8
2026-07-10,,d28,140631,73019,1.0615763945836011E7,0.0,1.0000512672789265E8
2026-07-10,,d7,140631,114975,1.4797720604661893E7,2.0277451619917355E7,1.1029182744993243E8
2026-07-10,dep,d7,140631,23621,1.527458265738115E7,2.097286313026543E7,1.1064001654392272E8
2026-07-10,dep,d28,140631,2146,9938010.454799628,0.0,1.0004281653681275E8
2026-07-11,,d28,140631,87640,9779697.999851663,0.0,1.000010119477863E8
2026-07-11,dep,d28,140631,1861,9792990.376141865,0.0,1.000105320408383E8
2026-07-11,dep,d7,140631,38475,1.3927554030019486E7,1.6083170890188443E7,1.0819177189218958E8
2026-07-11,,d7,140631,191640,1.3696251584324758E7,1.5631392193696525E7,1.0796556853967862E8
2026-07-12,,d7,140631,219940,1.3006877131917782E7,1.5455124124761296E7,1.0787731199185239E8
2026-07-12,,d28,140631,106004,9759058.282640288,0.0,1.0E8
2026-07-12,dep,d28,140631,2192,9442600.583029198,0.0,1.0E8
2026-07-12,dep,d7,140631,45286,1.3175636543103803E7,1.603144459656404E7,1.0816587279353426E8
2026-07-13,,d7,140631,153128,1.3706679022393059E7,1.7761611201086655E7,1.090321586307924E8
2026-07-13,dep,d7,140631,30554,1.3996213786247328E7,1.908097139490742E7,1.0969275573581225E8
2026-07-13,dep,d28,140631,1696,1.0113910960495293E7,0.0,1.0E8
2026-07-13,,d28,140631,84410,9795679.629854342,0.0,1.0E8
2026-07-14,,d28,140631,98296,7334018.464362747,0.0,1.0E8
2026-07-14,,d7,140631,144631,1.4289686373841014E7,1.5393656961508919E7,1.0784653568808891E8
2026-07-14,dep,d28,140631,1948,7014632.713552361,0.0,1.0E8
2026-07-14,dep,d7,140631,28625,1.4370415202969445E7,1.59231441048035E7,1.0811164727448022E8
2026-07-15,,d7,140631,132665,1.561291780742473E7,1.5223306825462617E7,1.0776124221990721E8
2026-07-15,,d28,140631,77387,8469536.888947766,0.0,1.0E8
2026-07-15,dep,d7,140631,29190,1.621780464768758E7,1.615621788283657E7,1.0822834615909557E8
2026-07-15,dep,d28,140631,1576,8807764.865482219,0.0,1.0E8
2026-07-16,dep,d28,140631,1730,9634627.832369933,0.0,1.0E8
2026-07-16,,d7,140631,113235,1.708279196365087E7,1.6376562017044201E7,1.0833867137418655E8
2026-07-16,dep,d7,140631,25321,1.7446487955846913E7,1.7874491528770566E7,1.0908867725097759E8
2026-07-16,,d28,140631,86871,9334363.631672211,0.0,1.0E8
2026-07-17,dep,d28,140631,1569,1.2762530221159954E7,0.0,1.0002392107074568E8
2026-07-17,,d7,140631,139876,1.780885049689718E7,1.521776430552771E7,1.0775846710766664E8
2026-07-17,,d28,140631,65792,1.0728667265017005E7,0.0,1.0000204522957219E8
2026-07-17,dep,d7,140631,32200,1.8345517389378842E7,1.6111801242236024E7,1.0820610696745369E8
2026-07-18,,d28,140631,70373,1.1953879611285595E7,0.0,1.0000381431014746E8
2026-07-18,dep,d28,140631,1933,1.4607540926021742E7,0.0,1.0004293211381257E8
2026-07-18,,d7,140631,157485,1.773014075208439E7,1.6626345366225353E7,1.0846373665819581E8
2026-07-18,dep,d7,140631,37003,1.8159482046590824E7,1.6577034294516662E7,1.0843904684917451E8
2026-07-19,,d7,140631,199855,1.732858883028195E7,1.4032173325661074E7,1.0716484758457893E8
2026-07-19,dep,d7,140631,47932,1.7381824266669463E7,1.425352582825667E7,1.0727567768472005E8
2026-07-19,dep,d28,140631,2665,1.4705514616510306E7,0.0,1.0004631861313346E8
2026-07-19,,d28,140631,87272,1.1820120632436525E7,0.0,1.000048835654965E8
2026-07-20,dep,d28,140631,2354,1.5419158401869172E7,0.0,1.0004298972982153E8
2026-07-20,,d7,140631,173291,1.7026266365639325E7,2.0112989133884594E7,1.1020948189891002E8
2026-07-20,dep,d7,140631,42268,1.751099995838463E7,2.0497776095391303E7,1.1040214282199301E8
2026-07-20,,d28,140631,80807,1.3650448247020693E7,0.0,1.0000438662987116E8
2026-07-21,,d28,140631,74508,1.5221925529916245E7,0.0,1.0001232654018335E8
2026-07-21,dep,d7,140631,40777,1.5768667282414105E7,1.6720209922260094E7,1.0851073417583427E8
2026-07-21,,d7,140631,164470,1.5463590416872384E7,1.6595123730771553E7,1.0844810414018366E8
2026-07-21,dep,d28,140631,3327,1.7013375033062894E7,0.0,1.0008063884580715E8
2026-07-22,dep,d7,140631,35270,1.9978352006322686E7,1.812872129288342E7,1.0921596883288898E8
2026-07-22,,d7,140631,139051,1.965991079665004E7,1.8400443002926912E7,1.0935201854536837E8
2026-07-22,,d28,140631,64050,2.0945131441436384E7,0.0,1.0000929758426225E8
