submit_date,model_type,post_install_window,target_game_id,start_count,avg_cost,avg_max_cost,avg_actual_max_cst
2026-07-01,dep,d7,500195275,556,3.870718109172655E7,7.203237410071951E7,1.2403799597122304E8
2026-07-01,,d7,500195275,2751,3.7532647539803684E7,7.104689203925858E7,1.2371254121992005E8
2026-07-02,dep,d7,500195275,766,3.4753622054830275E7,7.891644908616193E7,1.263409406997388E8
2026-07-02,,d7,500195275,3827,3.6686858112098195E7,7.776326103997934E7,1.2595776511732398E8
2026-07-03,dep,d7,500195275,854,4.229263184192038E7,9.203747072599536E7,1.3069844159250589E8
2026-07-03,,d7,500195275,4262,4.401622897254812E7,9.059127170342545E7,1.302183324110747E8
2026-07-04,dep,d7,500195275,925,4.5247107400000066E7,7.945945945945947E7,1.2652033051675679E8
2026-07-04,,d7,500195275,4719,4.491061588196644E7,7.962492053401138E7,1.2657536092222936E8
2026-07-05,,d7,500195275,4989,4.1613826175786644E7,7.660853878532764E7,1.255721651184607E8
2026-07-05,dep,d7,500195275,1039,4.287724563233881E7,7.723772858517803E7,1.2578247687391718E8
2026-07-06,,d7,500195275,3798,4.286086341758814E7,8.779620853080596E7,1.2929072706055816E8
2026-07-06,dep,d7,500195275,792,4.264602178156567E7,8.731060606060605E7,1.291289068282828E8
2026-07-07,,d7,500195275,2983,4.3272976486758225E7,7.643312101910831E7,1.255165058960777E8
2026-07-07,dep,d7,500195275,605,4.311016396198346E7,7.363636363636355E7,1.245880267107438E8
2026-07-08,,d7,500195275,3611,4.604935804015501E7,1.0102464691221273E8,1.3368441956244786E8
2026-07-08,dep,d7,500195275,787,4.671415838881825E7,1.0196950444726817E8,1.3399945693519685E8
2026-07-09,,d7,500195275,2900,4.619081713448277E7,7.939655172413795E7,1.2650255889655161E8
2026-07-09,dep,d7,500195275,641,4.536532653510138E7,8.283931357254297E7,1.2764572475507016E8
2026-07-10,dep,d7,500195275,576,4.30346739184028E7,8.85416666666667E7,1.2953918577777784E8
2026-07-10,,d7,500195275,2794,4.5529808792770155E7,8.745526127415885E7,1.2917844588117382E8
2026-07-11,,d7,500195275,4309,4.9492280140403874E7,9.318867486655834E7,1.3108222051334421E8
2026-07-11,dep,d7,500195275,932,5.071019757081541E7,9.222103004291855E7,1.3076091495278978E8
2026-07-12,,d7,500195275,4387,4.773225212309093E7,8.021426943241405E7,1.2677408129838161E8
2026-07-12,dep,d7,500195275,936,4.9455421852564074E7,8.589743589743592E7,1.2866117141880347E8
2026-07-13,dep,d7,500195275,835,5.10281290443114E7,9.053892215568872E7,1.3020237259880233E8
2026-07-13,,d7,500195275,3860,5.1887691986787625E7,8.794041450777219E7,1.2933954055958568E8
2026-07-14,dep,d7,500195275,820,5.314210158414631E7,8.707317073170733E7,1.2905157307317089E8
2026-07-14,,d7,500195275,3902,5.3685260232444875E7,8.560994361865719E7,1.2856570987596098E8
2026-07-15,dep,d7,500195275,812,5.2357437586206906E7,8.054187192118222E7,1.2688286139901471E8
2026-07-15,,d7,500195275,3418,5.105622456875369E7,7.868636629607946E7,1.2626674248800477E8
2026-07-16,dep,d7,500195275,904,5.0665974751106225E7,7.665929203539822E7,1.255936543716813E8
2026-07-16,,d7,500195275,3983,4.922928823499869E7,7.750439367311095E7,1.2587426958172221E8
2026-07-17,,d7,500195275,6545,5.180123144155847E7,8.919786096256661E7,1.2975707448128346E8
2026-07-17,dep,d7,500195275,1598,5.147733323279103E7,9.086357947434281E7,1.30310174758448E8
2026-07-18,dep,d7,500195275,1741,5.600928089948316E7,8.753589890867303E7,1.292052215324526E8
2026-07-18,,d7,500195275,7331,5.4711956664575085E7,8.601827854317272E7,1.2870129710653366E8
2026-07-19,dep,d7,500195275,2094,4.814514887965619E7,7.020057306590241E7,1.2344904276599813E8
2026-07-19,,d7,500195275,8569,4.968132057311242E7,7.205041428404726E7,1.2406328081596473E8
2026-07-20,,d7,500195275,4108,4.864447935296974E7,7.70082765335929E7,1.2570953434858806E8
2026-07-20,dep,d7,500195275,1007,4.5931718017874904E7,7.284011916583909E7,1.2432550158490567E8
2026-07-21,,d7,500195275,1607,4.4695512668326E7,7.84069695084008E7,1.2617396904542632E8
2026-07-21,dep,d7,500195275,428,4.5921744815420575E7,7.35981308411215E7,1.2457719865420562E8
2026-07-22,,d7,500195275,1,1.36680332E8,1.5E8,1.49946368E8
