submit_date,model_type,post_install_window,target_game_id,start_count,avg_cost,avg_max_cost,avg_actual_max_cst
2026-07-01,dep,d7,500263133,655,2.7763504122137383E7,3.883969465648856E7,1.0653770728549625E8
2026-07-01,,d7,500263133,4390,2.6097850235990893E7,3.966287015945325E7,1.0667559006469256E8
2026-07-02,,d7,500263133,6006,2.265548757259413E7,3.9280719280719295E7,1.0665217342657341E8
2026-07-02,dep,d7,500263133,1000,2.1933113741999984E7,3.888000000000001E7,1.0658583424000002E8
2026-07-03,,d7,500263133,3989,2.6021191589872196E7,4.349962396590629E7,1.0735234502882938E8
2026-07-03,dep,d7,500263133,651,2.474115744086022E7,4.368663594470043E7,1.0738239665745014E8
2026-07-04,dep,d7,500263133,619,2.6649049806138936E7,3.663974151857835E7,1.0621441488852997E8
2026-07-04,,d7,500263133,3892,2.7585517595837664E7,4.091469681397737E7,1.069237954039053E8
2026-07-05,,d7,500263133,6868,3.2647368773733232E7,5.1368666278392546E7,1.0865890150728026E8
2026-07-05,dep,d7,500263133,1142,3.184992063485118E7,5.2959719789842404E7,1.0892335142556934E8
2026-07-06,,d7,500263133,5153,3.1035951623132166E7,5.5144575975160025E7,1.0928618602910918E8
2026-07-06,dep,d7,500263133,870,3.0740948117241375E7,5.8206896551724076E7,1.0979696963678165E8
2026-07-07,dep,d7,500263133,1087,3.24601579144434E7,6.988040478380863E7,1.1173281984176621E8
2026-07-07,,d7,500263133,6453,3.356635313900518E7,6.88609948860997E7,1.1156337079559912E8
2026-07-08,,d7,500263133,5511,3.2183744379604366E7,6.273271638541101E7,1.1054667020867366E8
2026-07-08,dep,d7,500263133,941,3.1195393092454858E7,6.401700318809778E7,1.1075928579808706E8
2026-07-09,dep,d7,500263133,1479,3.1265009315077756E7,6.393509127789042E7,1.1075380169303583E8
2026-07-09,,d7,500263133,8306,3.090572640922224E7,6.330845172164702E7,1.1064976415314208E8
2026-07-10,,d7,500263133,8273,3.027612716704941E7,5.571376767798855E7,1.0938886027897982E8
2026-07-10,dep,d7,500263133,1471,3.0897449952413306E7,5.832766825288921E7,1.0982283190210746E8
2026-07-11,,d7,500263133,8443,3.45796914981641E7,5.658178372616361E7,1.0953297223830365E8
2026-07-11,dep,d7,500263133,1320,3.386236764848484E7,5.645454545454544E7,1.0951184756363633E8
2026-07-12,dep,d7,500263133,2336,3.489325378809933E7,5.2294520547945224E7,1.0882118136986293E8
2026-07-12,,d7,500263133,13348,3.515074531997313E7,5.243032664069516E7,1.0884372851303564E8
2026-07-13,dep,d7,500263133,2399,3.1000961002917845E7,5.622342642767821E7,1.0947347613505638E8
2026-07-13,,d7,500263133,14890,3.031697689623907E7,5.5978509066487506E7,1.0943281384445935E8
2026-07-14,dep,d7,500263133,2204,3.199124469646098E7,6.223230490018138E7,1.1047109737931035E8
2026-07-14,,d7,500263133,12904,3.1813169412585285E7,6.213887166770007E7,1.1045558517048962E8
2026-07-15,dep,d7,500263133,2150,3.0295536961395383E7,5.5758139534883805E7,1.0939622709581383E8
2026-07-15,,d7,500263133,10860,3.0524016444935553E7,5.412154696132609E7,1.0912451257753244E8
2026-07-16,dep,d7,500263133,2778,2.722746484017282E7,5.257019438444923E7,1.0886694998992099E8
2026-07-16,,d7,500263133,14794,2.727127097066375E7,5.36082195484654E7,1.0903928763336481E8
2026-07-17,,d7,500263133,15357,2.9724943688090075E7,6.071498339519439E7,1.1021918478452781E8
2026-07-17,dep,d7,500263133,3007,2.940669924808782E7,6.053874293315609E7,1.1018992454406373E8
2026-07-18,dep,d7,500263133,3106,3.030530693560848E7,5.377978106889892E7,1.0906777105473267E8
2026-07-18,,d7,500263133,15282,3.098518485224444E7,5.31213191990578E7,1.089584502300745E8
2026-07-19,dep,d7,500263133,3003,2.8457762892440878E7,4.187812187812187E7,1.0709180364169173E8
2026-07-19,,d7,500263133,14493,2.827779910474031E7,4.1440695508176275E7,1.070191801327538E8
2026-07-20,,d7,500263133,22538,2.7635025324208E7,3.112077380424175E7,1.053058199478216E8
2026-07-20,dep,d7,500263133,4869,2.75222477461491E7,3.1743684534812074E7,1.054092384111725E8
2026-07-21,dep,d7,500263133,5263,2.1845597767622966E7,2.957248717461525E7,1.0504876638267136E8
2026-07-21,,d7,500263133,23519,2.280003947000301E7,3.1062545176240485E7,1.0529615256703089E8
2026-07-22,,d7,500263133,26557,3.335797108920435E7,6.296193094099482E7,1.1059223320224446E8
2026-07-22,dep,d7,500263133,5838,3.393641473278513E7,6.3288797533401884E7,1.1064650107571058E8
